51300026887,fcf,248,150
51300047398,cfc,173,117
51300112293,egc,4,279
51300146179,bdd,72,119
51300194780,gcf,178,234
51300202273,abe,260,194
51300227119,dcf,224,254
51300228513,bfe,157,46
51300272618,ebb,213,198
51300326660,gca,173,181
51300338845,bgc,153,51
51300375734,ffg,284,283
51300385397,gbf,265,283
51300409374,gcc,217,98
51300426963,efe,131,280
51300444548,abc,230,45
51300453534,bdb,262,25
51300478380,cef,277,186
51300487589,bae,254,183
51300502094,agg,268,191
51300504995,aae,102,253
51300538502,egc,267,326
51300550993,gfe,22,241
51300615904,gdg,217,155
51300645339,adf,253,73
51300685324,ead,170,109
51300708431,geg,22,172
51300712938,cgd,78,261
51300714124,egg,261,218
51300717030,edf,193,285
51300741921,fde,233,164
51300766149,eee,32,12
51300770038,ecb,226,8
51300816995,ddb,159,158
51300843431,aed,209,115
51300930742,dbc,171,48
51300963106,gcf,262,264
51300971711,gea,286,157
51301004842,ece,10,133
51301034371,bca,67,265
51301076881,aac,286,124
51301096190,bfb,202,148
51301121128,efd,137,57
51301152241,edc,286,101
51301155513,aaf,93,80
51301158130,fab,28,15
51301199935,baa,213,279
51301207263,bda,158,45
51301208501,bbc,144,152
51301340426,dcg,87,49
51301343116,ecg,61,285
51301376795,dba,287,182
51301379023,aee,242,209
51301382090,edb,289,43
51301417977,eef,264,281
51301439339,bfa,232,252
51301441416,bde,233,55
51301541371,afd,232,201
51301541496,ccc,117,296
51301555099,fea,76,142
51301642116,cge,115,81
51301647104,deb,296,119
51301673488,cfg,109,11
51301694553,cef,61,199
51301714913,agg,102,187
51301854538,ecd,269,74
51301863334,ada,175,102
51301899505,fad,55,243
51301918362,faa,4,254
51301922579,acf,299,67
51302011484,aef,106,161
51302012307,gfd,281,86
51302058648,fcd,245,199
51302070257,ddd,208,14
51302075790,abe,165,176
51302084925,eab,253,126
51302113238,bgg,113,139
51302157469,abf,26,96
51302178186,acd,208,16
51302195104,fba,3,108
51302195436,eac,284,9
51302201489,cgd,57,302
51302207654,cac,156,254
51302216610,cgg,132,238
51302257107,fbe,7,105
51302266565,add,66,261
51302273126,fae,148,225
51302281482,dga,194,176
51302321667,ffd,266,96
51302335983,gfd,290,102
51302376754,gce,80,284
51302391136,ceb,176,185
51302433939,fdd,168,7
51302448634,dac,48,134
51302474749,aeg,277,89
51302481295,gdd,81,134
51302493871,eab,93,126
51302503929,ggf,262,235
51302554344,gef,162,162
51302569116,ece,296,133
51302584013,ffb,129,113
51302602352,bcc,150,87
51302635502,dad,94,203
51302661926,daf,174,21
51302685156,ebc,38,244
